page,screenshot_number_on_page,caption,filename,relative_path,width_px,height_px,description,visible_section,related_tasks,keywords,notes
4,,Landing Page,p04_01_landing_page.png,screenshots/p04_01_landing_page.png,,,Landing Page,,,,
5,,Login,p05_01_login.png,screenshots/p05_01_login.png,,,Login,,,,
6,,Work Bench - Timeline View,p06_01_work_bench_timeline_view.png,screenshots/p06_01_work_bench_timeline_view.png,,,Work Bench - Timeline View,,use work bench timeline | group timeline | filter timeline | ending soon | overdue timeline | drag return date | timeline conflict,work bench | timeline | group by | closest dates first | ending <72h | overdue | ending soon | drag handle | conflict modal | KPI cards,"Use for Timeline planning, grouping, ending-soon/overdue, KPI, and timeline-reschedule questions."
7,,Work Bench - Stages View,p07_01_work_bench_stages_view.png,screenshots/p07_01_work_bench_stages_view.png,,,Work Bench - Stages View,,use work bench stages | explain stage columns | find order by stage | why stage empty,work bench | stages | request | quote | reservation | order | received | closed | status filters,Use for order-level workflow stage questions.
8,,Work Bench - Pick/Return View,p08_01_work_bench_pick_return_view.png,screenshots/p08_01_work_bench_pick_return_view.png,,,Work Bench - Pick/Return View,,use pick return | dispatch checklist | equipment out | equipment back | explain TBD in pick return,work bench | pick return | equipment out | equipment back | delivery address | TBD | pickup instructions | dropoff,Use for pickup/return movement checklist questions.
9,,Dashboard - Map View,p09_01_dashboard_map_view.png,screenshots/p09_01_dashboard_map_view.png,,,Dashboard - Map View,,use map view | explain missing map marker | explain units vs locations map | map marker colors,map | units | locations | current location | base location | coordinates | marker | google maps | leaflet | street | satellite,"Use for map visibility, marker, and current/base location questions."
10,,Dashboard - Availability and Utilization View,p10_01_dashboard_availability_and_utilization_view.png,screenshots/p10_01_dashboard_availability_and_utilization_view.png,,,Dashboard - Availability and Utilization View,,use dashboard availability | explain availability math | explain demand trend | explain donut colors | explain upcoming demand | update incidents,dashboard | availability | utilization | demand | donut | trend | committed | potential | purchase orders | shortfall | incidents | alerts | breaches,"Use for availability, utilization, demand, donut, incident, and upcoming-demand questions."
11,,Quotes Table,p11_01_quotes_table.png,screenshots/p11_01_quotes_table.png,,,Quotes Table - list view of quotes with search/filter controls and New Quote action.,,find quote | create quote | reserve quote | reject quote | convert quote,quote | new quote | reserve | reject | converted | status,
12,,Rental Order Table,p12_01_rental_order_table.png,screenshots/p12_01_rental_order_table.png,,,Rental Order Table - list view of rental orders. Best for finding an order or starting a new rental order using the New RO button.,,find rental order | create rental order | open rental order | filter rental orders,rental order | new ro | status | requested | reservation | ordered | received | closed | search,
13,,Rental Order / Quote Detail Page (1),p13_01_rental_order_quote_detail_page_1.png,screenshots/p13_01_rental_order_quote_detail_page_1.png,,,"Rental Order / Quote Detail Page (1) - first/top screenshot of the rental order detail page. Best for header-level fields such as customer selection, RO/quote header fields, status, terms, and top navigation.",first/top section,,,
14,,Rental Order / Quote Detail Page (2),p14_01_rental_order_quote_detail_page_2.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,,,Rental Order / Quote Detail Page (2) - second/middle screenshot of the rental order detail page. Best for line items and mid-page order-entry actions. Use this screenshot when the user asks about adding or editing line items.,second/middle section,add line item | edit line item | add equipment to rental order | set booked dates | add pricing period | add rate | assign unit | troubleshoot unit availability,line item | equipment type | booked dates | start | end | period | rate | unit | unit locked | actual dates | availability | bundle | rerent,Preferred screenshot for rental order/quote line items and unit selection issues.
14,,Rental Order / Quote Detail Page (3),p14_02_rental_order_quote_detail_page_3.png,screenshots/p14_02_rental_order_quote_detail_page_3.png,,,"Rental Order / Quote Detail Page (3) - third/lower screenshot of the rental order detail page. Best for lower-page sections such as documents, history, recurring/monthly charges, and other bottom-page details.",third/lower section,review monthly charges | explain monthly recurring calculation | troubleshoot monthly charges,monthly charges | recurring | proration | daily | weekly | monthly | billing settings,
16,,Rental Order / Quote - Pick Site Address Popup,p16_01_rental_order_quote_pick_site_address_popup.png,screenshots/p16_01_rental_order_quote_pick_site_address_popup.png,,,Rental Order / Quote - Pick Site Address Popup,,pick site address | set order site pin | set unit pin | explain map pin current location,site address | map pin | unit pin | current location | geocode | directions,
17,,Rental Order / Quote - Additional Fee Popup,p17_01_rental_order_quote_additional_fee_popup.png,screenshots/p17_01_rental_order_quote_additional_fee_popup.png,,,Rental Order / Quote - Additional Fee Popup,,add additional fee | edit fee | explain fee not saving,additional fee | fee name | fee amount | fee date | one-time charge,
18,,Rental Order / Quote - Before/After Documents Popup,p18_01_rental_order_quote_before_after_documents_popup.png,screenshots/p18_01_rental_order_quote_before_after_documents_popup.png,,,Rental Order / Quote - Before/After Documents Popup,,,,
19,,Rental Order / Quote - Booked Dates Popup,p19_01_rental_order_quote_booked_dates_popup.png,screenshots/p19_01_rental_order_quote_booked_dates_popup.png,,,Rental Order / Quote - Booked Dates Popup,,add booked dates | edit booked dates | set planned dates,booked dates | start | end | planned dates | availability | line item,
20,,Rental Order - Actual Dates Popup (1),p20_01_rental_order_actual_dates_popup_1.png,screenshots/p20_01_rental_order_actual_dates_popup_1.png,,,"Rental Order - Actual Dates Popup (1) - first screenshot of this multi-screen workflow, likely showing the top / header section.",first/top section,record actual pickup | record actual return | explain actual pickup disabled | explain return pending | update current location,actual dates | pickup | delivery | returned | return pending | unit required | current location | base location,
20,,Rental Order - Actual Dates Popup (2),p20_02_rental_order_actual_dates_popup_2.png,screenshots/p20_02_rental_order_actual_dates_popup_2.png,,,"Rental Order - Actual Dates Popup (2) - second screenshot of this multi-screen workflow, likely showing the middle section.",second/middle section,record actual pickup | record actual return | explain actual pickup disabled | explain return pending | update current location,actual dates | pickup | delivery | returned | return pending | unit required | current location | base location,
21,,Rental Order - Add Pause Period,p21_01_rental_order_add_pause_period.png,screenshots/p21_01_rental_order_add_pause_period.png,,,Rental Order - Add Pause Period,,add pause period | close pause period | explain pause billing,pause | pause period | pause start | pause end | billing,
22,,Rental Order / Quote - Attachments Drawer,p22_01_rental_order_quote_attachments_drawer.png,screenshots/p22_01_rental_order_quote_attachments_drawer.png,,,Rental Order / Quote - Attachments Drawer,,,,
23,,Rental Order / Quote - History Page,p23_01_rental_order_quote_history_page.png,screenshots/p23_01_rental_order_quote_history_page.png,,,Rental Order / Quote - History Page,,,,
24,,Rental Order / Quote - Monthly Charges,p24_01_rental_order_quote_monthly_charges.png,screenshots/p24_01_rental_order_quote_monthly_charges.png,,,Rental Order / Quote - Monthly Charges,,review monthly charges | explain monthly recurring calculation | troubleshoot monthly charges,monthly charges | recurring | proration | daily | weekly | monthly | billing settings,
25,,Rental Order / Quote - Customer Update Page,p25_01_rental_order_quote_customer_update_page.png,screenshots/p25_01_rental_order_quote_customer_update_page.png,,,Rental Order / Quote - Customer Update Page,,generate customer link | review customer edits | explain customer link,customer link | customer update | customer edits | share link | order_update | new_quote,
26,,Customer Link Page for Rental Order / Quote (1),p26_01_customer_link_page_for_rental_order_quote_1.png,screenshots/p26_01_customer_link_page_for_rental_order_quote_1.png,,,Customer Link Page for Rental Order / Quote (1) - first/top screenshot of the external customer-facing order page.,first/top section,customer submit link | explain customer link fields | customer proof pdf,customer link | single-use | e-signature | proof pdf | line item changes | documents,
26,,Customer Link Page for Rental Order / Quote (2),p26_02_customer_link_page_for_rental_order_quote_2.png,screenshots/p26_02_customer_link_page_for_rental_order_quote_2.png,,,Customer Link Page for Rental Order / Quote (2) - second/lower screenshot of the external customer-facing order page.,second/middle section,customer submit link | explain customer link fields | customer proof pdf,customer link | single-use | e-signature | proof pdf | line item changes | documents,
27,,Monthly Charges Page,p27_01_monthly_charges_page.png,screenshots/p27_01_monthly_charges_page.png,,,Monthly Charges Page - summary view of recurring monthly charges across customers/orders.,,review monthly charges | explain monthly recurring calculation | troubleshoot monthly charges,monthly charges | recurring | proration | daily | weekly | monthly | billing settings,
28,,Work Orders Table View,p28_01_work_orders_table_view.png,screenshots/p28_01_work_orders_table_view.png,,,Work Orders Table View - work orders list with New Work Order action.,,find work order | create work order | search work orders,work order | service status | return inspection | out of service | due date,
29,,Work Order Detail View (1),p29_01_work_order_detail_view_1.png,screenshots/p29_01_work_order_detail_view_1.png,,,"Work Order Detail View (1) - first/top screenshot of the work order detail page, useful for work order header details and asset selection.",first/top section,create work order | edit work order | add parts | add labor | set return inspection | set out of service,work order | units | service status | parts | labor | recurrence | return inspection | out of service,
29,,Work Order Detail View (2),p29_02_work_order_detail_view_2.png,screenshots/p29_02_work_order_detail_view_2.png,,,"Work Order Detail View (2) - second/middle screenshot of the work order detail page, typically useful for work summary, instructions, dates, and parts/labor sections.",second/middle section,create work order | edit work order | add parts | add labor | set return inspection | set out of service,work order | units | service status | parts | labor | recurrence | return inspection | out of service,
30,,Work Order Detail View (3),p30_01_work_order_detail_view_3.png,screenshots/p30_01_work_order_detail_view_3.png,,,"Work Order Detail View (3) - third/lower screenshot of the work order detail page, useful for lower-page or additional sections.",third/lower section,create work order | edit work order | add parts | add labor | set return inspection | set out of service,work order | units | service status | parts | labor | recurrence | return inspection | out of service,
31,,Parts,p31_01_parts.png,screenshots/p31_01_parts.png,,,Parts - parts inventory list/detail area used to add or manage parts.,,create part | edit part | add part to work order,part | part number | unit of measure | unit cost | parts inventory,
32,,Assets Table View,p32_01_assets_table_view.png,screenshots/p32_01_assets_table_view.png,,,Assets Table View - list of assets with filters and Add Equipment/Asset button.,,find asset | explain asset status | troubleshoot availability status | search assets,asset | unit | available | reserved | rented out | overdue | return inspection | out of service | current location,
33,,Asset Detail View,p33_01_asset_detail_view.png,screenshots/p33_01_asset_detail_view.png,,,"Asset Detail View - main asset/unit detail page for editing type, model, serial number, location, and other asset fields.",,create asset | edit asset | set base location | set current location | explain asset not on map | add directions,asset detail | type | model | serial number | condition | current location | base location | directions | images,
34,,Asset Detail - Current Location Map Popup,p34_01_asset_detail_current_location_map_popup.png,screenshots/p34_01_asset_detail_current_location_map_popup.png,,,Asset Detail - Current Location Map Popup,,create asset | edit asset | set base location | set current location | explain asset not on map | add directions,asset detail | type | model | serial number | condition | current location | base location | directions | images,
35,,Asset Detail - Bundle Popup,p35_01_asset_detail_bundle_popup.png,screenshots/p35_01_asset_detail_bundle_popup.png,,,Asset Detail - Bundle Popup,,create asset | edit asset | set base location | set current location | explain asset not on map | add directions,asset detail | type | model | serial number | condition | current location | base location | directions | images,
36,,Equipment Page Table View,p36_01_equipment_page_table_view.png,screenshots/p36_01_equipment_page_table_view.png,,,Equipment Page Table View,,find equipment type | create equipment type,equipment type | model | rates | category,
37,,Equipment Detail Page,p37_01_equipment_detail_page.png,screenshots/p37_01_equipment_detail_page.png,,,Equipment Detail Page - equipment type/model form used for creating or editing an equipment type.,,create equipment type | edit equipment type | add equipment rates | add equipment images,equipment detail | rate | daily | weekly | monthly | images | qbo item,
38,,Location Table View,p38_01_location_table_view.png,screenshots/p38_01_location_table_view.png,,,Location Table View,,find location | create location | explain base locations list,location | base location | branch | yard | address,
38,,Location Detail View (1),p38_02_location_detail_view_1.png,screenshots/p38_02_location_detail_view_1.png,,,Location Detail View (1) - first/top screenshot of the location detail page.,first/top section,create location | edit location | set base location | geocode location,location detail | street | city | region | country | map position | base location,
39,,Location Detail View (2),p39_01_location_detail_view_2.png,screenshots/p39_01_location_detail_view_2.png,,,Location Detail View (2) - second/lower screenshot of the location detail page.,second/middle section,create location | edit location | set base location | geocode location,location detail | street | city | region | country | map position | base location,
40,,Purchase Order Table View,p40_01_purchase_order_table_view.png,screenshots/p40_01_purchase_order_table_view.png,,,Purchase Order Table View,,create purchase order | close purchase order | create asset from purchase order,purchase order | vendor | expected possession | close | asset creation,
41,,Purchase Order Detail View,p41_01_purchase_order_detail_view.png,screenshots/p41_01_purchase_order_detail_view.png,,,Purchase Order Detail View,,create purchase order | close purchase order | create asset from purchase order,purchase order | vendor | expected possession | close | asset creation,
42,,Sales Order Detail View,p42_01_sales_order_detail_view.png,screenshots/p42_01_sales_order_detail_view.png,,,Sales Order Detail View,,create sales order | sell asset,sales order | asset | sale price | customer | pdf,
43,,Vendor Detail View,p43_01_vendor_detail_view.png,screenshots/p43_01_vendor_detail_view.png,,,Vendor Detail View,,create vendor | edit vendor,vendor | contact | address | purchase orders,
44,,Customer Table View,p44_01_customer_table_view.png,screenshots/p44_01_customer_table_view.png,,,Customer Table View - customers list with New Customer action.,,find customer | create customer | import customers | qbo sync customer,customer | new customer | import | qbo | contacts,
45,,Customer QuickBooks Online Sync,p45_01_customer_quickbooks_online_sync.png,screenshots/p45_01_customer_quickbooks_online_sync.png,,,Customer QuickBooks Online Sync - customer sync page or panel showing QuickBooks integration controls/status.,,sync customer with quickbooks | import qbo customer | link qbo customer,quickbooks | qbo | sync | customer | import | link,
46,,Customer Detail View (1),p46_01_customer_detail_view_1.png,screenshots/p46_01_customer_detail_view_1.png,,,Customer Detail View (1) - first/top screenshot of the customer detail page.,first/top section,create customer | edit customer | add contacts | set special pricing | charge deposit,customer detail | standalone | branch | contacts | address | special pricing | charge deposit,
47,,Customer Detail View (2),p47_01_customer_detail_view_2.png,screenshots/p47_01_customer_detail_view_2.png,,,Customer Detail View (2) - second/lower screenshot of the customer detail page.,second/middle section,create customer | edit customer | add contacts | set special pricing | charge deposit,customer detail | standalone | branch | contacts | address | special pricing | charge deposit,
48,,Customer Detail - Extra Drawers,p48_01_customer_detail_extra_drawers.png,screenshots/p48_01_customer_detail_extra_drawers.png,,,Customer Detail - Extra Drawers,,create customer | edit customer | add contacts | set special pricing | charge deposit,customer detail | standalone | branch | contacts | address | special pricing | charge deposit,
49,,Sales People Table View,p49_01_sales_people_table_view.png,screenshots/p49_01_sales_people_table_view.png,,,Sales People Table View,,create salesperson | edit salesperson | sales reporting,salesperson | sales people | email | phone | photo,
50,,Sales People Detail View,p50_01_sales_people_detail_view.png,screenshots/p50_01_sales_people_detail_view.png,,,Sales People Detail View,,create salesperson | edit salesperson | sales reporting,salesperson | sales people | email | phone | photo,
